num,title,units,lectures,sections,department
48495,Scaling Change,9.0,"[{'times': [{'days': [1, 3, 5], 'begin': '12:30PM', 'end': '01:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Instructor TBA']}]",[],Architecture
48500,Advanced Synthesis Options Studio III,18.0,"[{'times': [{'days': [5], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Instructor TBA']}]","[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Colvard']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Ficca']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Folan']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Hayes']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Arscott']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'F', 'instructors': ['Kline']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'G', 'instructors': ['Mondor']}, {'times': [{'days': [3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'H', 'instructors': ['Instructor TBA']}]",Architecture
48509,Architecture Design Studio: Thesis I/ Independent Project,18.0,"[{'times': [{'days': [3, 5], 'begin': '12:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Arscott']}, {'times': [{'days': [3, 5], 'begin': '12:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Instructor TBA']}, {'times': [{'days': [3, 5], 'begin': '12:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Instructor TBA']}, {'times': [{'days': [3, 5], 'begin': '12:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '200', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Instructor TBA']}]",[],Architecture
48524,Building Performance Modeling,9.0,"[{'times': [{'days': [2, 4], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': '415IW', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Karaguzel']}]",[],Architecture
48531,Fabricating Customization,9.0,"[{'times': [{'days': [2, 4], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'MM', 'room': 'C4', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Ficca']}]",[],Architecture
48545,Digital Fabrication,9.0,"[{'times': [{'days': [2, 4], 'begin': '12:00PM', 'end': '01:20PM', 'building': 'MM', 'room': 'C4', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Pertierra']}]",[],Architecture
48555,Introduction to Architectural Robotics,6.0,"[{'times': [{'days': [2, 4], 'begin': '10:00AM', 'end': '11:50AM', 'building': 'MM', 'room': 'C4', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Pertierra', 'Bidgoli']}]",[],Architecture
48558,Reality Computing,12.0,"[{'times': [{'days': [1, 3], 'begin': '01:30PM', 'end': '03:20PM', 'building': 'HL', 'room': 'A10', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Corbett', 'Folan']}]",[],Architecture
48568,"Advanced CAD, BIM, and 3D Visualization",9.0,"[{'times': [{'days': [2, 4], 'begin': '01:30PM', 'end': '02:50PM', 'building': 'BH', 'room': '140C', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kurland']}]",[],Architecture
48599,Independent Study,3-9,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kim']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Cupkova', 'Byrne']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'C', 'instructors': ['Instructor TBA']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'D', 'instructors': ['Instructor TBA']}, {'times': [{'days': None, 'begin': None, 'end': None, 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'E', 'instructors': ['Instructor TBA']}]",[],Architecture
48600,ASO Studio General,18.0,"[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '320', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Instructor TBA']}]",[],Architecture
48624,Parametric Modeling,6.0,"[{'times': [{'days': [4], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'CFA', 'room': '317', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A1', 'instructors': ['Krishnamurti', 'Veloso']}]",[],Architecture
48630,Masters Studio: Integration I,18.0,"[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cupkova', 'Kim']}, {'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '312', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'B', 'instructors': ['Folan']}]",[],Architecture
48634,Architectural Theory,9.0,"[{'times': [{'days': [2, 4], 'begin': '12:00PM', 'end': '01:20PM', 'building': 'DH', 'room': '1117', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Gutschow']}]",[],Architecture
48635,Environment I: Climate & Energy,9.0,"[{'times': [{'days': [2, 4], 'begin': '03:00PM', 'end': '04:20PM', 'building': 'MM', 'room': '103', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'Lec', 'instructors': ['Loftness']}]","[{'times': [{'days': [2], 'begin': '06:00PM', 'end': '08:20PM', 'building': 'MM', 'room': '303', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Loftness']}]",Architecture
48655,Environment II: Design Integration of Active Building Systems,9.0,"[{'times': [{'days': [2, 4], 'begin': '09:00AM', 'end': '10:20AM', 'building': 'BH', 'room': '136A', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Baird']}]",[],Architecture
48691,MTID Studies,6.0,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kim']}]",[],Architecture
48692,MTID Explorations,6.0,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kim']}]",[],Architecture
48693,MTID Thesis Prep,18.0,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kim']}]",[],Architecture
48694,MTID Thesis Project,18.0,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Kim']}]",[],Architecture
48700,Practicum,0-36,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Carter', 'Hartkopf', 'Krishnamurti', 'Loftness', 'Lee', 'Akin', 'Karaguzel', 'Lam']}]",[],Architecture
48702,Master's Project,18-36,"[{'times': [{'days': None, 'begin': None, 'end': None, 'building': 'DNM', 'room': 'DNM', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Abdul-Aziz', 'Cardoso Llach', 'Loftness', 'Cochran', 'Karaguzel', 'Krishnamurti']}]",[],Architecture
48705,Architecture Design Studio: Urban Placemaking Studio,18.0,"[{'times': [{'days': [1, 3, 5], 'begin': '01:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '407', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Danes']}]",[],Architecture
48707,MUD Graduate Seminar,3.0,"[{'times': [{'days': [3], 'begin': '10:30AM', 'end': '11:50AM', 'building': 'CFA', 'room': '206A', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Carter']}]",[],Architecture
48714,Data Analytics for Urban Design,12.0,"[{'times': [{'days': [1, 5], 'begin': '09:30AM', 'end': '11:20AM', 'building': 'MM', 'room': '303', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Byrne']}]",[],Architecture
48715,Computational Design Pre-Thesis Prep,6.0,"[{'times': [{'days': [4], 'begin': '06:00PM', 'end': '07:30PM', 'building': None, 'room': None, 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cardoso Llach']}]",[],Architecture
48716,Computational Design Pre-Thesis Seminar,6.0,"[{'times': [{'days': [4], 'begin': '05:00PM', 'end': '06:20PM', 'building': 'MM', 'room': '415IW', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Cardoso Llach']}]",[],Architecture
48718,Urban Design Studio III,18.0,"[{'times': [{'days': [1, 3, 5], 'begin': '12:30PM', 'end': '04:20PM', 'building': 'MM', 'room': '407', 'location': 'Pittsburgh, Pennsylvania'}], 'name': 'A', 'instructors': ['Gruber']}]",[],Architecture
