num,name,units,lecture_days,l_begin,l_end,recitation_days,r_begin,r_end
48241,Modern Architecture,9.0,"['MO', 'WE', 'FR']",2017-09-09 10:30:00,2017-09-09 11:20:00,[],,
48241,Modern Architecture,9.0,['TH'],2017-09-09 19:00:00,2017-09-09 20:20:00,[],,
48250,Case Studies in Architecture and Cities,9.0,"['TU', 'TH']",2017-09-09 10:30:00,2017-09-09 11:50:00,[],,
48300,Architecture Design Studio: Integration I,18.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48300,Architecture Design Studio: Integration I,18.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48300,Architecture Design Studio: Integration I,18.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48311,History of Architectural Theory,9.0,"['TU', 'TH']",2017-09-09 12:00:00,2017-09-09 13:20:00,[],,
48315,Environment I: Climate & Energy,9.0,"['TU', 'TH']",2017-09-09 15:00:00,2017-09-09 16:20:00,['TU'],2017-09-09 18:00:00,2017-09-09 20:20:00
48324,Structures/Statics,9.0,"['TU', 'TH']",2017-09-09 13:30:00,2017-09-09 14:50:00,[],,
48357,Anatomy and Organic Form,9.0,['TH'],2017-09-09 09:00:00,2017-09-09 11:50:00,[],,
48368,"Rediscovering Antiquity: Travelers, Archeologists & Architects in Mediterranean",9.0,"['TU', 'TH']",2017-09-09 12:00:00,2017-09-09 13:20:00,[],,
48371,"American House and Housing, 1850-1975",9.0,"['TU', 'TH']",2017-09-09 15:00:00,2017-09-09 16:20:00,[],,
48371,"American House and Housing, 1850-1975",9.0,['TH'],2017-09-09 13:30:00,2017-09-09 14:50:00,[],,
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48400,Advanced Synthesis Options Studio I,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48432,Environment II: Design Integration of Active Building Systems,9.0,"['TU', 'TH']",2017-09-09 09:00:00,2017-09-09 10:20:00,[],,
48470,Exploring Pattern Through Lamination,6.0,"['TU', 'TH']",2017-09-09 10:30:00,2017-09-09 11:50:00,[],,
48473,"Hand and Machine Joinery, New Directions",6.0,"['TU', 'TH']",2017-09-09 10:30:00,2017-09-09 11:50:00,[],,
48495,Scaling Change,9.0,"['MO', 'WE', 'FR']",2017-09-09 12:30:00,2017-09-09 13:20:00,[],,
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48500,Advanced Synthesis Options Studio III,18.0,['FR'],2017-09-09 13:30:00,2017-09-09 14:50:00,"['WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00
48509,Architecture Design Studio: Thesis I/ Independent Project,18.0,"['WE', 'FR']",2017-09-09 12:30:00,2017-09-09 16:20:00,[],,
48509,Architecture Design Studio: Thesis I/ Independent Project,18.0,"['WE', 'FR']",2017-09-09 12:30:00,2017-09-09 16:20:00,[],,
48509,Architecture Design Studio: Thesis I/ Independent Project,18.0,"['WE', 'FR']",2017-09-09 12:30:00,2017-09-09 16:20:00,[],,
48509,Architecture Design Studio: Thesis I/ Independent Project,18.0,"['WE', 'FR']",2017-09-09 12:30:00,2017-09-09 16:20:00,[],,
48524,Building Performance Modeling,9.0,"['TU', 'TH']",2017-09-09 13:30:00,2017-09-09 14:50:00,[],,
48531,Fabricating Customization,9.0,"['TU', 'TH']",2017-09-09 13:30:00,2017-09-09 14:50:00,[],,
48545,Digital Fabrication,9.0,"['TU', 'TH']",2017-09-09 12:00:00,2017-09-09 13:20:00,[],,
48555,Introduction to Architectural Robotics,6.0,"['TU', 'TH']",2017-09-09 10:00:00,2017-09-09 11:50:00,[],,
48558,Reality Computing,12.0,"['MO', 'WE']",2017-09-09 13:30:00,2017-09-09 15:20:00,[],,
48568,"Advanced CAD, BIM, and 3D Visualization",9.0,"['TU', 'TH']",2017-09-09 13:30:00,2017-09-09 14:50:00,[],,
48600,ASO Studio General,18.0,"['MO', 'WE', 'FR']",2017-09-09 13:30:00,2017-09-09 16:20:00,[],,
48624,Parametric Modeling,6.0,['TH'],2017-09-09 13:30:00,2017-09-09 16:20:00,[],,
