Fall,2015,SARAH CHRISTIAN,CEE,12335,SOIL MECHANICS,A,22,33,67%,8.71,3.5,2.77,3.32,2.73,3.59,2.91,3.59,2.77,2.73,,,,,,,,,
Fall,2016,SARAH CHRISTIAN,CEE,12336,SOIL MECHANICS LABTY,A,37,38,97%,3.89,4.09,4.03,5.41,4.3,4,4.19,3.54,4.06,4.03,4.38,4.03,3.94,,,,,,
Fall,2015,"CARTWRIGHT, L. (co-taught)",CEE,12336,SOIL MECHANICS LABTY,A,14,23,61%,4.36,4.69,4.46,4.69,4.31,4.62,4.62,4.69,4.62,4.62,,,,,,,,,
Fall,2015,"CHRISTIAN, S. (co-taught)",CEE,12336,SOIL MECHANICS LABTY,A,14,23,61%,4.4,4,3.67,3.92,3.75,3.92,3.67,4.08,3.58,4,,,,,,,,,
Spring,2017,"FRANCIONI ROONEY, A. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,34,36,94%,4.06,4,4.21,4.29,4.15,4.26,7.56,4.62,4.59,4.59,4.53,4.47,4.35,4.65,4.53,4.41,,,
Spring,2017,"MAUTER, M. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,34,36,94%,,,,,,,9.68,4.53,4.53,4.79,3.82,4.65,4.03,4.53,4.18,4.12,,,
Spring,2016,"FRANCIONI ROONEY, A. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,15,33,45%,,,,,,,7.79,4.6,4.53,4.47,4.47,4.47,4.4,4.67,4.4,4.2,,,
Spring,2016,"MAUTER, M. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,15,33,45%,4.43,4.21,4.07,4.57,4.14,4.38,8.8,4.73,4.67,4.73,4.5,4.67,4.4,4.73,4.33,4.33,,,
Spring,2015,"LOWRY, G. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,22,38,58%,10.48,4.59,4.5,4.36,4.05,4.73,4.27,4.41,4.41,4.32,,,,,,,,,
Spring,2015,"FRANCIONI ROONEY, A. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,22,38,58%,7.5,4.72,4.56,4.56,4.56,4.39,4.5,4.94,4.56,4.44,,,,,,,,,
Spring,2014,"LOWRY, G. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,20,32,63%,9.65,4.5,4.35,4.53,4,4.95,4.15,4.5,4.3,4.4,,,,,,,,,
Spring,2014,"MILLER, J. (co-taught)",CEE,12351,ENVRMNTL ENGINEERING,A,20,32,63%,8.3,4.68,4.74,4.79,4.84,4.79,4.84,4.84,4.79,4.68,,,,,,,,,
Spring,2013,GREGORY LOWRY,CEE,12351,ENVRMNTL ENGINEERING,A,24,43,56%,9.88,4.5,4.58,4.58,4.04,4.79,4.63,4.67,4.58,4.46,,,,,,,,,
Spring,2017,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,A,8,20,40%,4,4,4.13,3.75,4,4.13,3.88,3.88,4.25,4.13,4.25,3.63,4.13,3.75,3.88,3.88,4,,
Spring,2017,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,B,4,11,36%,4.25,4.25,4.25,4,4,4.25,4.5,6.5,4.75,5,5,4.5,4.75,4.75,4.75,4.5,4.5,,
Spring,2016,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,A,6,21,29%,3.83,4.17,4,3.5,4,3.83,3.67,5,4.83,4,4.33,4.33,4.83,4.17,4.83,4.17,4.17,,
Spring,2016,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,B,5,10,50%,4,4.2,3.8,3.6,4,4,4,3.2,3.6,4,4,3.4,3.8,3.8,4.2,4,4,,
Spring,2015,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,A,10,17,59%,5.9,3.4,3.7,3.6,2.8,3.7,3.9,3.6,3.5,3.3,,,,,,,,,
Spring,2015,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,B,10,16,63%,6.2,3.9,4,4,3.3,4.2,3.7,3.9,3.7,3.56,,,,,,,,,
Spring,2014,"DZOMBAK, D. (co-taught)",CEE,12352,ENVMNTL ENGRNG LAB,A,11,20,55%,5.55,4.45,4.27,4.45,4,4.45,4.27,4.55,4.18,4.18,,,,,,,,,
Spring,2014,"MILLER, J. (co-taught)",CEE,12352,ENVMNTL ENGRNG LAB,A,11,20,55%,5.55,4.64,4.73,4.73,4.55,4.55,4.55,4.73,4.55,4.55,,,,,,,,,
Spring,2014,"DZOMBAK, D. (co-taught)",CEE,12352,ENVMNTL ENGRNG LAB,B,6,12,50%,5.5,4.33,4.33,4.33,3.83,4.17,4,4.5,4,4,,,,,,,,,
Spring,2014,"MILLER, J. (co-taught)",CEE,12352,ENVMNTL ENGRNG LAB,B,6,12,50%,4.25,5,5,5,5,5,5,5,5,5,,,,,,,,,
Spring,2013,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,A,10,21,48%,5,4.4,4.3,4.3,4.4,4.3,4.4,4.4,4.3,4,,,,,,,,,
Spring,2013,DAVID DZOMBAK,CEE,12352,ENVMNTL ENGRNG LAB,B,10,19,53%,4.7,4.5,4.4,4.5,4.5,4.5,4.2,4.8,4.4,4.2,,,,,,,,,
Fall,2016,KELVIN GREGORY,CEE,12355,FLUID MECHANICS,A,36,37,97%,4.33,4.3,8.08,4.44,4.5,4.5,4.39,4.57,4.5,4.56,4.47,4.44,,,,,,,
Fall,2016,DANIEL BUDNY,CEE,12355,FLUID MECHANICS,B,7,10,70%,4.67,4.67,8.86,4.86,4.86,4.86,4.71,5,5,4.71,4.86,4.86,,,,,,,
Fall,2015,KELVIN GREGORY,CEE,12355,FLUID MECHANICS,A,24,24,100%,8.91,4.46,4.67,4.54,4.38,4.46,4.54,4.42,4.67,4.57,,,,,,,,,
Fall,2015,DANIEL BUDNY,CEE,12355,FLUID MECHANICS,B,3,8,38%,7,4,3.67,3.67,3.33,3.67,3.67,3.67,3.67,3.67,,,,,,,,,
Fall,2016,KELVIN GREGORY,CEE,12356,FLUID MECHANICS LAB,A,36,38,95%,4.26,4.18,4.15,5.08,4.4,4.31,4.28,4.22,4.44,4.39,4.53,4.39,4.36,,,,,,
Fall,2015,KELVIN GREGORY,CEE,12356,FLUID MECHANICS LAB,A,14,24,58%,6.93,4.21,4.43,4.5,4.07,4.43,4.29,4.21,4.57,4.43,,,,,,,,,
Spring,2017,SARAH CHRISTIAN,CEE,12358,MATERIALS LAB,A4,14,28,50%,3.79,3.86,3.64,5.23,4.43,3.79,4.07,3.86,4.21,4,4.43,3.93,3.57,,,,,,
Spring,2016,"CARTWRIGHT, L. (co-taught)",CEE,12358,MATERIALS LAB,A4,11,31,35%,4.25,4.29,4.5,5,4.33,4.56,4.44,4.44,4.44,4.33,4.67,4.44,4.33,,,,,,
Spring,2016,"CHRISTIAN, S. (co-taught)",CEE,12358,MATERIALS LAB,A4,11,31,35%,,,,5.6,4,3.8,3.7,3.9,3.7,3.7,4.1,3.7,3.6,,,,,,
Spring,2015,LAWRENCE CARTWRIGHT,CEE,12358,MATERIALS LAB,A4,19,36,53%,5.05,4.68,4.53,4.53,4.42,4.58,4.58,4.68,4.68,4.53,,,,,,,,,
Spring,2014,LAWRENCE CARTWRIGHT,CEE,12358,MATERIALS LAB,A4,21,39,54%,3.86,4.71,4.38,4.67,4.29,4.76,4.71,4.38,4.71,4.52,,,,,,,,,
Spring,2013,LAWRENCE CARTWRIGHT,CEE,12358,MATERIALS LAB,A4,25,50,50%,3,4.64,4.6,4.6,4.2,4.72,4.72,4.76,4.72,4.64,,,,,,,,,
Fall,2016,"CHRISTIAN, S. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,21,23,91%,3.86,4,3.9,3.9,4.14,3.62,3.57,15.19,4.05,3.52,3.86,3.86,3.81,3.67,4.29,3.62,3.67,,
Fall,2016,"THOMPSON, J. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,21,23,91%,,,,,,,,14.95,3.95,3.76,3.86,3.86,4.1,3.67,3.57,3.62,3.67,,
Fall,2015,"CARTWRIGHT, L. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,21,33,64%,14.95,4.48,4.1,4.19,4.1,4.38,4.1,4.33,4.43,3.48,,,,,,,,,
Fall,2015,"CHRISTIAN, S. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,21,33,64%,14.95,3.29,3,2.76,2.67,2.95,2.67,3.38,2.62,3.29,,,,,,,,,
Fall,2015,"THOMPSON, J. (co-taught)",CEE,12401,CIV & ENVIR ENG DES,A,21,33,64%,14.85,4,3.71,3.81,3.9,3.95,3.65,3.67,3.71,3.43,,,,,,,,,
Fall,2016,KER-WEI YEOH,CEE,12411,PRJ MANGMT CONSTRCTN,A,16,28,57%,3.69,4.06,4.06,3.94,3.94,3.81,9.13,4.25,4.06,4,3.88,4.13,4.13,4.63,4.06,3.8,,,
Fall,2016,NOAH SHALTES,CEE,12411,PRJ MANGMT CONSTRCTN,B,20,23,87%,3.2,3.1,3.5,3.25,3.4,3.32,9.25,3.75,3.4,3.35,3.35,3.65,3.35,4.35,3.45,3.05,,,
Fall,2015,NOAH SHALTES,CEE,12411,PRJ MANGMT CONSTRCTN,B,13,19,68%,8.92,4.15,4,4.25,4,4,4.15,4.46,4.31,4,,,,,,,,,
Fall,2015,"AKINCI, B. (co-taught)",CEE,12411,PRJ MANGMT CONSTRCTN,A,26,43,60%,8.35,3.54,3.58,3.54,3.35,3.85,3.62,4.15,3.58,3.35,,,,,,,,,
Fall,2015,"YEOH, K. (co-taught)",CEE,12411,PRJ MANGMT CONSTRCTN,A,26,43,60%,8.63,4.24,3.88,3.8,3.76,4.04,3.88,4.36,3.96,3.52,,,,,,,,,
Fall,2010,JAMES GARRETT,CEE,12411,ENGNEERG ECONOMICS,A1,46,59,78%,10.67,4.48,4.59,4.48,4.2,4.57,4.5,4.7,4.46,4.2,,,,,,,,,
Fall,2016,MATTEO POZZI,CEE,12421,ENGINEERNG ECONOMICS,A1,28,44,64%,11.82,4.11,4.11,4.11,3.82,4.25,4.14,4.54,4,4.04,,,,,,,,,
Fall,2015,MATTEO POZZI,CEE,12421,ENGINEERNG ECONOMICS,A1,61,65,94%,10.02,3.74,3.69,3.62,3.38,3.72,3.48,4.18,3.44,3.49,,,,,,,,,
Spring,2017,KRISTEN KURLAND,CEE,12600,AUTOCAD,A4,30,45,67%,4.25,4.67,4.77,4.8,4.53,4.63,4.83,4.76,4.7,4.8,,,,,,,,,
Spring,2016,KRISTEN KURLAND,CEE,12600,AUTOCAD,A4,36,37,97%,3.29,4.14,4.47,4.42,4.11,4.31,4.5,4.47,4.31,4.31,,,,,,,,,
Fall,2016,KRISTEN KURLAND,CEE,12600,AUTOCAD,A2,36,41,88%,4.06,4.11,4.54,4.46,3.83,4.09,4.51,4.37,4.37,4.26,,,,,,,,,
Spring,2015,KRISTEN KURLAND,CEE,12600,AUTOCAD,A4,18,35,51%,4.17,4.41,4.59,4.53,4.35,4.47,4.71,4.59,4.47,4.35,,,,,,,,,
Fall,2015,KRISTEN KURLAND,CEE,12600,AUTOCAD,A2,29,43,67%,4.79,4.45,4.59,4.59,4.41,4.48,4.62,4.66,4.59,4.55,,,,,,,,,
Spring,2016,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,10,24,42%,8,3.9,3.9,4.1,3.8,4.7,4.3,4.3,4,4.1,,,,,,,,,
Fall,2016,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,6,11,55%,8,4.5,4.5,4.5,4.5,4.67,4.5,4.5,4.5,4.5,,,,,,,,,
Spring,2015,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,13,21,62%,10.23,4.54,4.46,4.5,4.08,4.5,4.42,4.58,4.5,4.42,,,,,,,,,
Spring,2014,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,13,22,59%,6.38,4,3.92,3.85,3.46,4.23,3.69,4,3.54,3.69,,,,,,,,,
Spring,2013,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,19,38,50%,6.89,4.42,3.84,4.28,3.89,4.32,4,4.58,4.05,3.95,,,,,,,,,
Spring,2012,GREG CERMINARA,CEE,12604,TRANSPORTATN ENGNRNG,A,11,17,65%,6.64,3.91,4.09,4.09,3.73,4.36,4.18,4.55,4,3.91,,,,,,,,,
Spring,2011,GREG CERMINARA,CEE,12604,SP TP TRANSPORTN ENG,A,11,15,73%,6.64,4.55,4.36,4.27,4.45,4.45,4.36,4.45,4.36,4.18,,,,,,,,,
Spring,2010,GREG CERMINARA,CEE,12604,SP TP TRANSPORTN ENG,A,10,17,59%,5.9,4.2,4,4.1,4.2,4.4,4.3,4.2,4.2,4.3,,,,,,,,,
Spring,2013,LAWRENCE CARTWRIGHT,CEE,12605,DESIGN & CONSTRUCTN,A,9,21,43%,13,5,4.56,4.67,4.78,4.89,4.78,4.89,4.78,4.78,,,,,,,,,
Spring,2012,LAWRENCE CARTWRIGHT,CEE,12605,DESIGN & CONSTRUCTN,A,10,21,48%,11.9,4.9,4.7,4.8,4.3,4.9,4.8,4.6,4.8,4.9,,,,,,,,,
Spring,2011,LAWRENCE CARTWRIGHT,CEE,12605,DESIGN & CONSTRUCTN,A,6,12,50%,10.5,5,4.83,4.5,4.83,4.67,4.83,4.83,5,5,,,,,,,,,
Spring,2010,LAWRENCE CARTWRIGHT,CEE,12605,DESIGN & CONSTRUCTN,A,11,16,69%,11.82,4.91,4.82,4.64,4.91,4.91,4.82,4.82,5,5,,,,,,,,,
Spring,2014,BURCU AKINCI,CEE,12610,ST: ICCM,A,7,10,70%,9.71,4.43,3.57,4.14,4.14,4,3.86,4.71,4.43,3.83,,,,,,,,,
Spring,2013,BURCU AKINCI,CEE,12610,SPECIAL TOPIC,A,5,7,71%,10.4,4.5,4.25,4.5,4.25,4.25,4.25,5,4.5,4.5,,,,,,,,,
Spring,2012,BURCU AKINCI,CEE,12610,SPECIAL TOPIC,A,5,13,38%,6.8,4.4,4,4,3.8,4.4,3.6,4.4,4,4,,,,,,,,,
Spring,2011,"SOIBELMAN, L. (co-taught)",CEE,12610,SPECIAL TOPIC,A,13,19,68%,9,4.38,4.31,4.62,4.23,4.54,4.46,4.77,4.38,4.38,,,,,,,,,
Spring,2011,"AKINCI, B. (co-taught)",CEE,12610,SPECIAL TOPIC,A,13,19,68%,8.75,4.31,4.38,4.54,4.15,4.38,4.31,4.62,4.31,4.46,,,,,,,,,
